Rule class order,Rule class name,RuleType,row (within class),feast / season type,evening name,day name,Is Seasonal Time,ByDayOfWeek-Weekday,ByDayOfMonth-Year,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning OT,Morning NT,Evening OT,Evening NT,M Psalm main,M Psalm optional,M omitted if canticle,E Psalm main,E optional,E omitted if canticle
4,Lent.cs,ByDayOfWeek,33,Lent,,1st day of Lent,TRUE,Th,,,,Genesis 39,Jeremiah 2:14–32,N/A,Galatians 2:11–end,John 4:1–26,,,,,77,,,74,,
4,Lent.cs,ByDayOfWeek,34,Lent,,2nd day of Lent,TRUE,F,,,,Genesis 40,Jeremiah 3:6–22,N/A,Galatians 3:1–14,John 4:27–42,,,,,3,7,,31,,
4,Lent.cs,ByDayOfWeek,35,Lent,,3rd day of Lent,TRUE,S,,,,Genesis 41:1–24,Jeremiah 4:1–18,N/A,Galatians 3:15–22,John 4:43–end,,,,,71,,,73,,
4,Lent.cs,ByDayOfWeek,36,Lent,,1st Sunday of Lent,TRUE,Su,,,,,,,,,,,,,,,,,,
4,Lent.cs,ByDayOfWeek,37,Lent,,Week of 1st Sunday of Lent,TRUE,M,,,,Genesis 41:25–45,Jeremiah 4:19–end,N/A,Galatians 3:23–4:7,John 5:1–18,,,,,11,10,,13,"12,14",
4,Lent.cs,ByDayOfWeek,38,Lent,,Week of 1st Sunday of Lent,TRUE,T,,,,Genesis 41:46–42:5,Jeremiah 5:1–19,N/A,Galatians 4:8–20,John 5:19–29,,,,,44,,,49,46,
4,Lent.cs,ByDayOfWeek,39,Lent,,Week of 1st Sunday of Lent,TRUE,W,,,,Genesis 42:6–17,Jeremiah 5:20–end,N/A,Galatians 4:21–5:1,John 5:30–end,,,,,6,17,,28,9,
4,Lent.cs,ByDayOfWeek,40,Lent,,Week of 1st Sunday of Lent,TRUE,Th,,,,Genesis 42:18–28,Jeremiah 6:9–21,N/A,Galatians 5:2–15,John 6:1–15,,,,,42,43,,142,"137,138",
4,Lent.cs,ByDayOfWeek,41,Lent,,Week of 1st Sunday of Lent,TRUE,F,,,,Genesis 42:29–end,Jeremiah 6:22–end,N/A,Galatians 5:16–end,John 6:16–27,,,,,22,,,55,54,
4,Lent.cs,ByDayOfWeek,42,Lent,,Week of 1st Sunday of Lent,TRUE,S,,,,Genesis 43:1–15,Jeremiah 7:1–20,N/A,Galatians 6,John 6:27–40,,,,,63,59,,4,16,
4,Lent.cs,ByDayOfWeek,43,Lent,,2nd Sunday of Lent,TRUE,Su,,,,,,,,,,,,,,,,,,
4,Lent.cs,ByDayOfWeek,44,Lent,,Week of 2nd Sunday of Lent,TRUE,M,,,,Genesis 43:16–end,Jeremiah 7:21–end,N/A,Hebrews 1,John 6:41–51,,,,,32,26,,74,70,
4,Lent.cs,ByDayOfWeek,45,Lent,,Week of 2nd Sunday of Lent,TRUE,T,,,,Genesis 44:1–17,Jeremiah 8:1–15,N/A,Hebrews 2:1–9,John 6:52–59,,,,,50,,,52,"53,54",
4,Lent.cs,ByDayOfWeek,46,Lent,,Week of 2nd Sunday of Lent,TRUE,W,,,,Genesis 44:18–end,Jeremiah 8:18–9:11,N/A,Hebrews 2:10–end,John 6:60–end,,,,,35,,,3,51,
4,Lent.cs,ByDayOfWeek,47,Lent,,Week of 2nd Sunday of Lent,TRUE,Th,,,,Genesis 45:1–15,Jeremiah 9:12–24,N/A,Hebrews 3:1–6,John 7:1–13,,,,,34,,,71,,
4,Lent.cs,ByDayOfWeek,48,Lent,,Week of 2nd Sunday of Lent,TRUE,F,,,,Genesis 45:16–end,Jeremiah 10:1–16,N/A,Hebrews 3:7–end,John 7:14–24,,,,,41,40,,6,38,
4,Lent.cs,ByDayOfWeek,49,Lent,,Week of 2nd Sunday of Lent,TRUE,S,,,,"Genesis 46:1–7,46:28–end",Jeremiah 10:17–24,N/A,Hebrews 4:1–13,John 7:25–36,,,,,25,3,,23,27,
4,Lent.cs,ByDayOfWeek,50,Lent,,3rd Sunday of Lent,TRUE,Su,,,,,,,,,,,,,,,,,,
4,Lent.cs,ByDayOfWeek,51,Lent,,Week of 3rd Sunday of Lent,TRUE,M,,,,Genesis 47:1–27,Jeremiah 11:1–17,N/A,Hebrews 4:14–5:10,John 7:37–52,,,,,5,7,,17,11,
4,Lent.cs,ByDayOfWeek,52,Lent,,Week of 3rd Sunday of Lent,TRUE,T,,,,Genesis 47:28–end; Genesis 48,Jeremiah 11:18–12:6,N/A,Hebrews 5:11–6:12,John 7:53–8:11,,,,,9,6,,64,"61,62",
4,Lent.cs,ByDayOfWeek,53,Lent,,Week of 3rd Sunday of Lent,TRUE,W,,,,Genesis 49:1–32,Jeremiah 13:1–11,N/A,Hebrews 6:13–end,John 8:12–30,,,,,38,,,39,36,
4,Lent.cs,ByDayOfWeek,54,Lent,,Week of 3rd Sunday of Lent,TRUE,Th,,,,Genesis 49:33–end; Genesis 50,Jeremiah 14,N/A,Hebrews 7:1–10,John 8:31–47,,,,,56,57,,59,60,
4,Lent.cs,ByDayOfWeek,55,Lent,,Week of 3rd Sunday of Lent,TRUE,F,,,,Exodus 1:1–14,Jeremiah 15:10–end,N/A,Hebrews 7:11–end,John 8:48–end,,,,,22,,,69,,
4,Lent.cs,ByDayOfWeek,56,Lent,,Week of 3rd Sunday of Lent,TRUE,S,,,,Exodus 1:22–2:10,Jeremiah 16:10–17:4,N/A,Hebrews 8,John 9:1–17,,,,,31,,,116,130,
4,Lent.cs,ByDayOfWeek,57,Lent,,4th Sunday of Lent,TRUE,Su,,,,,,,,,,,,,,,,,,
4,Lent.cs,ByDayOfWeek,58,Lent,,Week of 4th Sunday of Lent,TRUE,M,,,,Exodus 2:11–22,Jeremiah 17:5–18,N/A,Hebrews 9:1–14,John 9:18–end,,,,,77,70,,25,28,
4,Lent.cs,ByDayOfWeek,59,Lent,,Week of 4th Sunday of Lent,TRUE,T,,,,Exodus 2:23–3:20,Jeremiah 18:1–12,N/A,Hebrews 9:15–end,John 10:1–10,,,,,79,54,,80,82,
4,Lent.cs,ByDayOfWeek,60,Lent,,Week of 4th Sunday of Lent,TRUE,W,,,,Exodus 4:1–23,Jeremiah 18:13–end,N/A,Hebrews 10:1–18,John 10:11–21,,,,,90,63,,91,52,
4,Lent.cs,ByDayOfWeek,61,Lent,,Week of 4th Sunday of Lent,TRUE,Th,,,,Exodus 4:27–6:1,Jeremiah 19:1–13,N/A,Hebrews 10:19–25,John 10:22–end,,,,,86,53,,94,,
4,Lent.cs,ByDayOfWeek,62,Lent,,Week of 4th Sunday of Lent,TRUE,F,,,,Exodus 6:2–13,Jeremiah 19:14–20:6,N/A,Hebrews 10:26–end,John 11:1–16,,,,,102,,,16,13,
4,Lent.cs,ByDayOfWeek,63,Lent,,Week of 4th Sunday of Lent,TRUE,S,,,,Exodus 7:8–end,Jeremiah 20:7–end,N/A,Hebrews 11:1–16,John 11:17–27,,,,,32,,,140,"141,142",
4,Lent.cs,ByDayOfWeek,64,Lent,,5th Sunday of Lent - Passion Sunday,TRUE,Su,,,,,,,,,,,,,,,,,,
4,Lent.cs,ByDayOfWeek,65,Lent,,Week of 5th Sunday of Lent,TRUE,M,,,,Exodus 8:1–19,Jeremiah 21:1–10,N/A,Hebrews 11:17–31,John 11:28–44,,,,,73,121,,26,27,
4,Lent.cs,ByDayOfWeek,66,Lent,,Week of 5th Sunday of Lent,TRUE,T,,,,Exodus 8:20–end,"Jeremiah 22:1–5,22:13–19",N/A,Hebrews 11:32–12:2,John 11:45–end,,,,,35,123,,61,64,
4,Lent.cs,ByDayOfWeek,67,Lent,,Week of 5th Sunday of Lent,TRUE,W,,,,Exodus 9:1–12,Jeremiah 22:20–23:8,N/A,Hebrews 12:3–13,John 12:1–11,,,,,55,124,,62,56,
4,Lent.cs,ByDayOfWeek,68,Lent,,Week of 5th Sunday of Lent,TRUE,Th,,,,Exodus 9:13–end,Jeremiah 23:9–32,N/A,Hebrews 12:14–end,John 12:12–19,,,,,40,125,,43,42,
4,Lent.cs,ByDayOfWeek,69,Lent,,Week of 5th Sunday of Lent,TRUE,F,,,,Exodus 10,Jeremiah 24,N/A,Hebrews 13:1–16,John 12:20–36a,,,,,22,126,,31,,
4,Lent.cs,ByDayOfWeek,70,Lent,,Week of 5th Sunday of Lent,TRUE,S,,,,Exodus 11,Jeremiah 25:1–14,N/A,Hebrews 13:17–end,John 12:36b–end,,,,,23,127,,130,"128,129",
5,PalmSundayToPentecost.cs,ByDayOfWeek,1,HolyWeek,,6th Sunday of Lent - Palm Sunday,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,2,HolyWeek,,Monday in Holy Week,TRUE,M,,,,,,,,,Lamentations 1:1-12a,Luke 22:1-23,Lamentations 2:8-19,Colossians 1:18-23,41,,,25,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,3,HolyWeek,,Tuesday in Holy Week,TRUE,T,,,,,,,,,Lamentations 3:1-18,Luke 22:24-53,Lamentations 3:40-51,Galatians 6:11-18,27,,,55:13-24,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,4,HolyWeek,,Wednesday in Holy Week,TRUE,W,,,,,,,,,Jeremiah 11:18-20,Luke 22:54-71,Isaiah 63:1-9,Revelation 14:18-end; Revelation 15:1-4,102*,,,88,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,5,HolyWeek;PrincipalHolyDay,,Maundy Thursday,TRUE,Th,,,,,,,,,Leviticus 16:2-24,Luke 23:1-25,Exodus 11,Ephesians 2:11-18,"42,43",,,39,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,6,HolyWeek;PrincipalHolyDay,,Good Friday,TRUE,F,,,,,,,,,Genesis 22:1-18,Hebrews 10:1-10,Lamentations 5:15-22,Colossians 1:18-23; John 19:38-end,69,,,"130,143",,
5,PalmSundayToPentecost.cs,ByDayOfWeek,7,HolyWeek,,Holy Saturday,TRUE,S,,,,,,,,,Hosea 6:1-6,John 2:18-22,Job 19:21-27,1 John 5:5-12,142,,,116,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,8,PrincipalFeast;PrincipalHolyDay;Eastertide;EasterWeek,,Easter Sunday,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,9,EasterWeek;Eastertide,,Monday in Easter Week,TRUE,M,,,,Exodus 12:1–14,Song of Solomon 1:9–2:7,,1 Corinthians 15:1–11,Mark 16:1–8,,,,,111,"117,146",,135,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,10,EasterWeek;Eastertide,,Tuesday in Easter Week,TRUE,T,,,,Exodus 12:14–36,Song of Solomon 2:8–end,,1 Corinthians 15:12–19,Luke 24:1–12,,,,,112,147:1-12,,136,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,11,EasterWeek;Eastertide,,Wednesday in Easter Week,TRUE,W,,,,Exodus 12:37–end,Song of Solomon 3,,1 Corinthians 15:20–28,Matthew 28:16–end,,,,,113,147:13-end,,105,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,12,EasterWeek;Eastertide,,Thursday in Easter Week,TRUE,Th,,,,Exodus 13:1–16,Song of Solomon 5:2–6:3,,1 Corinthians 15:29–34,Luke 7:11–17,,,,,114,148,,106,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,13,EasterWeek;Eastertide,,Friday in Easter Week,TRUE,F,,,,Exodus 13:17–14:14,Song of Solomon 7:10–8:4,,1 Corinthians 15:35–50,Luke 8:41–end,,,,,115,149,,107,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,14,EasterWeek;Eastertide,,Saturday in Easter Week,TRUE,S,,,,Exodus 14:15–end,Song of Solomon 8:5–7,,1 Corinthians 15:51–end,John 11:17–44,,,,,116,150,,145,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,15,Eastertide,,2nd Sunday of Easter,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,16,Eastertide,,Week of 2nd Sunday of Easter,TRUE,M,,,,Exodus 15:1–21,Deuteronomy 1:3–18,,Colossians 1:1–14,John 20:1–10,,,,,19,2,,139,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,17,Eastertide,,Week of 2nd Sunday of Easter,TRUE,T,,,,Exodus 15:22–16:10,Deuteronomy 1:19–40,,Colossians 1:15–end,John 20:11–18,,,,,8,"20,21",,104,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,18,Eastertide,,Week of 2nd Sunday of Easter,TRUE,W,,,,Exodus 16:11–end,Deuteronomy 3:18–end,,Colossians 2:1–15,John 20:19–end,,,,,30,16,,33,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,19,Eastertide,,Week of 2nd Sunday of Easter,TRUE,Th,,,,Exodus 17,Deuteronomy 4:1–14,,Colossians 2:16–3:11,John 21:1–14,,,,,28,29,,34,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,20,Eastertide,,Week of 2nd Sunday of Easter,TRUE,F,,,,Exodus 18:1–12,Deuteronomy 4:15–31,,Colossians 3:12–4:1,John 21:15–19,,,,,61,57,,118,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,21,Eastertide,,Week of 2nd Sunday of Easter,TRUE,S,,,,Exodus 18:13–end,Deuteronomy 4:32–40,,Colossians 4:2–end,John 21:20–end,,,,,84,63,,66,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,22,Eastertide,,3rd Sunday of Easter,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,23,Eastertide,,Week of 3rd Sunday of Easter,TRUE,M,,,,Exodus 19,Deuteronomy 5:1–22,,Luke 1:1–25,Ephesians 1:1–14,,,,,96,97,,61,65,
5,PalmSundayToPentecost.cs,ByDayOfWeek,24,Eastertide,,Week of 3rd Sunday of Easter,TRUE,T,,,,Exodus 20:1–21,Deuteronomy 5:22–end,,Luke 1:26–38,Ephesians 1:15–end,,,,,98,"99,100",,71,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,25,Eastertide,,Week of 3rd Sunday of Easter,TRUE,W,,,,Exodus 24,Deuteronomy 6,,Luke 1:39–56,Ephesians 2:1–10,,,,,105,,,72,67,
5,PalmSundayToPentecost.cs,ByDayOfWeek,26,Eastertide,,Week of 3rd Sunday of Easter,TRUE,Th,,,,Exodus 25:1–22,Deuteronomy 7:1–11,,Luke 1:57–end,Ephesians 2:11–end,,,,,136,,,73,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,27,Eastertide,,Week of 3rd Sunday of Easter,TRUE,F,,,,"Exodus 28:1–4a,28:29–38",Deuteronomy 7:12–end,,Luke 2:1–20,Ephesians 3:1–13,,,,,107,,,77,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,28,Eastertide,,Week of 3rd Sunday of Easter,TRUE,S,,,,Exodus 29:1–9,Deuteronomy 8,,Luke 2:21–40,Ephesians 3:14–end,,,,,110,"108,111",,27,23,
5,PalmSundayToPentecost.cs,ByDayOfWeek,29,Eastertide,,4th Sunday of Easter,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,30,Eastertide,,Week of 4th Sunday of Easter,TRUE,M,,,,Exodus 32:1–14,Deuteronomy 9:1–21,,Luke 2:41–end,Ephesians 4:1–16,,,,,103,,,114,"112,113",
5,PalmSundayToPentecost.cs,ByDayOfWeek,31,Eastertide,,Week of 4th Sunday of Easter,TRUE,T,,,,Exodus 32:15–34,Deuteronomy 9:23–10:5,,Luke 3:1–14,Ephesians 4:17–end,,,,,139,,,116,115,
5,PalmSundayToPentecost.cs,ByDayOfWeek,32,Eastertide,,Week of 4th Sunday of Easter,TRUE,W,,,,Exodus 33,Deuteronomy 10:12–end,,Luke 3:15–22,Ephesians 5:1–14,,,,,135,,,47,48,
5,PalmSundayToPentecost.cs,ByDayOfWeek,33,Eastertide,,Week of 4th Sunday of Easter,TRUE,Th,,,,"Exodus 34:1–10,34:27–end",Deuteronomy 11:8–end,,Luke 4:1–13,Ephesians 5:15–end,,,,,118,,,85,81,
5,PalmSundayToPentecost.cs,ByDayOfWeek,34,Eastertide,,Week of 4th Sunday of Easter,TRUE,F,,,,Exodus 35:20–36:7,Deuteronomy 12:1–14,,Luke 4:14–30,Ephesians 6:1–9,,,,,33,,,36,40,
5,PalmSundayToPentecost.cs,ByDayOfWeek,35,Eastertide,,Week of 4th Sunday of Easter,TRUE,S,,,,Exodus 40:17–end,Deuteronomy 15:1–18,,Luke 4:31–37,Ephesians 6:10–end,,,,,34,,,84,86,
5,PalmSundayToPentecost.cs,ByDayOfWeek,36,Eastertide,,5th Sunday of Easter,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,37,Eastertide,,Week of 5th Sunday of Easter,TRUE,M,,,,Numbers 9:15–end; Numbers 10:33–end,Deuteronomy 16:1–20,,Luke 4:38–end,1 Peter 1:1–12,,,,,145,,,105,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,38,Eastertide,,Week of 5th Sunday of Easter,TRUE,T,,,,Numbers 11:1–33,Deuteronomy 17:8–end,,Luke 5:1–11,1 Peter 1:13–end,,,,,19,147:1-12,,97,96,
5,PalmSundayToPentecost.cs,ByDayOfWeek,39,Eastertide,,Week of 5th Sunday of Easter,TRUE,W,,,,Numbers 12,Deuteronomy 18:9–end,,Luke 5:12–26,1 Peter 2:1–10,,,,,30,147:13-end,,99,"98,100",
5,PalmSundayToPentecost.cs,ByDayOfWeek,40,Eastertide,,Week of 5th Sunday of Easter,TRUE,Th,,,,"Numbers 13:1–3,13:17–end",Deuteronomy 19,,Luke 5:27–end,1 Peter 2:11–end,,,,,57,148,,104,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,41,Eastertide,,Week of 5th Sunday of Easter,TRUE,F,,,,Numbers 14:1–25,Deuteronomy 21:22–22:8,,Luke 6:1–11,1 Peter 3:1–12,,,,,138,149,,66,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,42,Eastertide,,Week of 5th Sunday of Easter,TRUE,S,,,,Numbers 14:26–end,Deuteronomy 24:5–end,,Luke 6:12–26,1 Peter 3:13–end,,,,,146,150,,118,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,43,Eastertide,,6th Sunday of Easter,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,44,Eastertide,,Week of 6th Sunday of Easter,TRUE,M,,,,Numbers 16:1–35,Deuteronomy 26,,Luke 6:27–38,1 Peter 4:1–11,,,,,65,67,,121,"122,123",
5,PalmSundayToPentecost.cs,ByDayOfWeek,45,Eastertide,,Week of 6th Sunday of Easter,TRUE,T,,,,Numbers 16:36–end,Deuteronomy 28:1–14,,Luke 6:39–end,1 Peter 4:12–end,,,,,126,"124,125,127",,128,"129,130,131",
5,PalmSundayToPentecost.cs,ByDayOfWeek,46,EveningBefore;Eastertide,1st EP of Ascension Day,Week of 6th Sunday of Easter,TRUE,W,,,,Numbers 17:1–11,Deuteronomy 28:58–end,,Luke 7:1–10,1 Peter 5,,,2 Samuel 23:1-5,Colossians 2:20-end; Colossians 3:1-4,132,133,,"15,24",,
5,PalmSundayToPentecost.cs,ByDayOfWeek,47,PrincipalFeast;PrincipalHolyDay;Eastertide,,Ascension Day,TRUE,Th,,,,,,,,,Isaiah 52:7-15,Hebrews 7:11-28,2 Kings 2:1-15,Revelation 5,"110,150",,,8,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,48,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,F,,,,Numbers 20:1–13,Deuteronomy 29:2–15,,Luke 7:11–17,1 John 1:1–2:6,,,,,81,20,,145,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,49,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,S,,,,Numbers 21:4–9,Deuteronomy 30,,Luke 7:18–35,1 John 2:7–17,,,,,47,21,,85,84,
5,PalmSundayToPentecost.cs,ByDayOfWeek,50,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,Su,,,,,,,,,,,,,,,,,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,51,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,M,,,,Numbers 22:1–35,Deuteronomy 31:1–13,,Luke 7:36–end,1 John 2:18–end,,,,,93,"96,97",,18,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,52,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,T,,,,Numbers 22:36–23:12,Deuteronomy 31:14–29,,Luke 8:1–15,1 John 3:1–10,,,,,99,"98,100",,68,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,53,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,W,,,,Numbers 23:13–end,Deuteronomy 31:30–32:14,,Luke 8:16–25,1 John 3:11–end,,,,,29,2,,46,36,
5,PalmSundayToPentecost.cs,ByDayOfWeek,54,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,Th,,,,Numbers 24,Deuteronomy 32:15–47,,Luke 8:26–39,1 John 4:1–6,,,,,24,72,,139,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,55,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,F,,,,Numbers 27:12–end,Deuteronomy 33,,Luke 8:40–end,1 John 4:7–end,,,,,28,30,,147,,
5,PalmSundayToPentecost.cs,ByDayOfWeek,56,Eastertide,,10 days between Ascension Day and Pentecost,TRUE,S,,,,Numbers 32:1–27,Deuteronomy 32:48–end; Deuteronomy 34,,Luke 9:1–17,1 John 5,,,,,43,42,,"97,98",,
5,PalmSundayToPentecost.cs,ByDayOfWeek,57,PrincipalFeast;PrincipalHolyDay;Eastertide,,Day of Pentecost,TRUE,Su,,,,,,,,,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,1,,,Week after Pentecost,FALSE,M,,,,Joshua 1,2 Chronicles 17:1–12,Job 1,Luke 9:18–27,Romans 1:1–17,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,2,,,Week after Pentecost,FALSE,T,,,,Joshua 2,2 Chronicles 18:1–27,Job 2,Luke 9:28–36,Romans 1:18–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,3,,,Week after Pentecost,FALSE,W,,,,Joshua 3,2 Chronicles 18:28–end; 2 Chronicles 19,Job 3,Luke 9:37–50,Romans 2:1–16,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,4,,,Week after Pentecost,FALSE,Th,,,,Joshua 4:1–5:1,2 Chronicles 20:1–23,Job 4,Luke 9:51–end,Romans 2:17–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,5,,,Week after Pentecost,FALSE,F,,,,Joshua 5:2–end,2 Chronicles 22:10–end; 2 Chronicles 23,Job 5,Luke 10:1–16,Romans 3:1–20,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,6,,,Week after Pentecost,FALSE,S,,,,Joshua 6:1–20,2 Chronicles 24:1–22,Job 6,Luke 10:17–24,Romans 3:21–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,7,,,Trinity Sunday,,Su,,,,,,,,,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,8,,,Week of Trinity Sunday,FALSE,M,,,,Joshua 7:1–15,2 Chronicles 26:1–21,Job 7,Luke 10:25–37,Romans 4:1–12,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,9,,,Week of Trinity Sunday,FALSE,T,,,,Joshua 7:16–end,2 Chronicles 28,Job 8,Luke 10:38–end,Romans 4:13–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,10,,,Week of Trinity Sunday,FALSE,W,,,,Joshua 8:1–29,2 Chronicles 29:1–19,Job 9,Luke 11:1–13,Romans 5:1–11,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,11,,,Week of Trinity Sunday,FALSE,Th,,,,Joshua 8:30–end,2 Chronicles 29:20–end,Job 10,Luke 11:14–28,Romans 5:12–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,12,,,Week of Trinity Sunday,FALSE,F,,,,Joshua 9:3–26,2 Chronicles 30,Job 11,Luke 11:29–36,Romans 6:1–14,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,13,,,Week of Trinity Sunday,FALSE,S,,,,Joshua 10:1–15,2 Chronicles 32:1–22,Job 12,Luke 11:37–end,Romans 6:15–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,14,,,12th Sunday in Ordinary Time (Te Pouhere Sunday),,Su,,,,,,,,,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,15,,,Week of 12th Sunday in Ordinary Time,FALSE,M,,,,Joshua 14,2 Chronicles 33:1–13,Job 13,Luke 12:1–12,Romans 7:1–6,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,16,,,Week of 12th Sunday in Ordinary Time,FALSE,T,,,,Joshua 21:43–22:8,2 Chronicles 34:1–18,Job 14,Luke 12:13–21,Romans 7:7–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,17,,,Week of 12th Sunday in Ordinary Time,FALSE,W,,,,Joshua 22:9–end,2 Chronicles 34:19–end,Job 15,Luke 12:22–31,Romans 8:1–11,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,18,,,Week of 12th Sunday in Ordinary Time,FALSE,Th,,,,Joshua 23,2 Chronicles 35:1–19,Job 16:1–17:2,Luke 12:32–40,Romans 8:12–17,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,19,,,Week of 12th Sunday in Ordinary Time,FALSE,F,,,,Joshua 24:1–28,2 Chronicles 35:20–36:10,Job 17:3–end,Luke 12:41–48,Romans 8:18–30,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,20,,,Week of 12th Sunday in Ordinary Time,FALSE,S,,,,Joshua 24:29–end,2 Chronicles 36:11–end,Job 18,Luke 12:49–end,Romans 8:31–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,21,,,13th Sunday in Ordinary Time,,Su,,,,,,,,,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,22,,,Week of 13th Sunday in Ordinary Time,FALSE,M,,,,Judges 2,Ezra 1,Job 19,Luke 13:1–9,Romans 9:1–18,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,23,,,Week of 13th Sunday in Ordinary Time,FALSE,T,,,,Judges 4:1–23,Ezra 3,Job 21,Luke 13:10–21,Romans 9:19–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,24,,,Week of 13th Sunday in Ordinary Time,FALSE,W,,,,Judges 5,Ezra 4:1–5,Job 22,Luke 13:22–end,Romans 10:1–10,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,25,,,Week of 13th Sunday in Ordinary Time,FALSE,Th,,,,Judges 6:1–24,Ezra 4:7–end,Job 23,Luke 14:1–11,Romans 10:11–end,,,,,,,,,,
6,OrdinaryTimeAfterPentecost.cs,ByDayOfWeek,26,,,Week of 13th Sunday in Ordinary Time,FALSE,F,,,,Judges 6:25–end,Ezra 5,Job 24,Luke 14:12–24,Romans 11:1–12,,,,,,,,,,
